NumIt	 Py (ser) [s]	 Py (P4) [s]	 C++ [s]	 C [s]
10	 6.95229e-04	 1.38991e-02	 1.11040e-05	 1.00000e-05
20	 1.52683e-03	 1.33202e-02	 1.61330e-05	 1.70000e-05
40	 2.60091e-03	 1.34153e-02	 2.17900e-05	 1.40000e-05
80	 4.87757e-03	 1.35388e-02	 4.38610e-05	 1.50000e-05
100	 6.10137e-03	 1.33388e-02	 4.08570e-05	 1.60000e-05
200	 1.22263e-02	 1.64490e-02	 6.87240e-05	 1.90000e-05
400	 2.50349e-02	 1.63462e-02	 1.31232e-04	 1.70000e-05
800	 4.99408e-02	 2.16126e-02	 2.49333e-04	 4.50000e-05
1000	 5.91118e-02	 2.00994e-02	 3.07581e-04	 5.70000e-05
2000	 1.32878e-01	 2.33998e-02	 6.02801e-04	 1.02000e-04
4000	 2.32159e-01	 2.98061e-02	 1.19345e-03	 7.60000e-05
8000	 4.89908e-01	 4.49233e-02	 2.40443e-03	 4.05000e-04
10000	 5.96679e-01	 5.42490e-02	 2.98181e-03	 4.65000e-04
20000	 1.18515e+00	 8.91681e-02	 6.32686e-03	 4.93000e-04
40000	 2.31142e+00	 1.39785e-01	 7.16293e-03	 9.83000e-04
80000	 4.58737e+00	 3.13481e-01	 1.53111e-02	 1.45500e-03
100000	 5.74134e+00	 3.02811e-01	 1.89237e-02	 4.70200e-03
200000	 1.17187e+01	 6.00179e-01	 2.97951e-02	 3.73500e-03
400000	 2.33770e+01	 1.13177e+00	 5.59753e-02	 1.40420e-02
800000	 4.66160e+01	 2.14260e+00	 1.01375e-01	 2.34210e-02
1000000	 5.87170e+01	 2.62993e+00	 1.27537e-01	 2.43280e-02
2000000	 1.14047e+02	 5.31083e+00	 2.49325e-01	 4.41930e-02
4000000	 2.33672e+02	 1.06035e+01	 4.86260e-01	 8.93020e-02
8000000	 4.52940e+02	 2.11765e+01	 9.71089e-01	 1.54391e-01
10000000	 5.81988e+02	 2.77881e+01	 1.20530e+00	 1.86981e-01
